"model","consensus","authority","N_total","N_initially_correct","N_initially_wrong","Base_accuracy_pct","Revision_rate_pct","Harmful_rate_pct","Beneficial_rate_pct","Mean_delta_C","Run_agreement_pct"
"qwen25_it","mixed","absent",7464,4015,3449,53.7915326902465,31.6184351554126,4.13449564134496,55.6103218324152,-0.528938906752411,96.7845659163987
"qwen25_it","mixed","present",7464,4015,3449,53.7915326902465,31.8193997856377,6.82440846824409,47.6369962307915,-0.554930332261523,97.1061093247588
"qwen25_it","unanimous correct","absent",7464,4015,3449,53.7915326902465,45.9539121114684,0.273972602739726,98.2313714120035,-0.0171489817792098,99.5980707395498
"qwen25_it","unanimous correct","present",7464,4015,3449,53.7915326902465,46.0744908896034,0.12453300124533,99.1881704841983,0.132100750267947,99.91961414791
"qwen25_it","unanimous wrong","absent",7464,4015,3449,53.7915326902465,87.620578778135,95.491905354919,0.231951290229052,-0.502679528402997,99.1961414790997
"qwen25_it","unanimous wrong","present",7464,4015,3449,53.7915326902465,88.3038585209003,96.8119551681196,0,-0.442524115755627,99.3167202572347
"mistral_it","mixed","absent",4996,1649,3347,33.0064051240993,59.6277021617294,51.6676773802305,24.3800418285031,-0.00020016012810572,97.1839799749687
"mistral_it","mixed","present",4996,1649,3347,33.0064051240993,62.9103282626101,55.6094602789569,23.3044517478339,-0.00700560448358226,97.8723404255319
"mistral_it","unanimous correct","absent",4996,1649,3347,33.0064051240993,70.2562049639712,60.6428138265616,39.8864654914849,-1.93755004003202,95.4943679599499
"mistral_it","unanimous correct","present",4996,1649,3347,33.0064051240993,72.9983987189752,63.7355973317162,38.9602629220197,-2.11789431545235,96.2453066332916
"mistral_it","unanimous wrong","absent",4996,1649,3347,33.0064051240993,68.5348278622898,61.3098847786537,13.3253659994025,-1.66533226581265,96.2453066332916
"mistral_it","unanimous wrong","present",4996,1649,3347,33.0064051240993,71.3570856685348,63.9781685870224,13.6540185240514,-1.82686148919135,96.6833541927409
"gemma2_it","mixed","absent",7467,4172,3295,55.8725056917102,13.2181599035757,10.4506232023011,3.15629742033384,-0.086380072318196,99.1161108879068
"gemma2_it","mixed","present",7467,4172,3295,55.8725056917102,17.4099370563814,16.1553211888782,3.21699544764795,-0.131110218293825,98.5938127762153
"gemma2_it","unanimous correct","absent",7467,4172,3295,55.8725056917102,30.5611356635864,38.2310642377756,5.03793626707132,-0.0808892460157977,98.5134592205705
"gemma2_it","unanimous correct","present",7467,4172,3295,55.8725056917102,30.5343511450382,38.3748801534036,4.94688922610015,-0.0440605330119142,98.5536359983929
"gemma2_it","unanimous wrong","absent",7467,4172,3295,55.8725056917102,21.0660238382215,18.3604985618408,4.58270106221548,-0.143832864604257,98.754519887505
"gemma2_it","unanimous wrong","present",7467,4172,3295,55.8725056917102,22.64631043257,18.4084372003835,5.49317147192716,-0.165126556850138,98.4732824427481
"llama31_it","mixed","absent",7467,3409,4058,45.6542118655417,39.5071648587117,17.8058081548841,43.962543124692,-0.487076469800454,95.8216151064685
"llama31_it","mixed","present",7467,3409,4058,45.6542118655417,46.5782777554573,25.3446758580229,43.6421882700838,-0.547073791348602,95.580554439534
"llama31_it","unanimous correct","absent",7467,3409,4058,45.6542118655417,61.135663586447,30.7421531240833,58.9699359290291,-0.0143297174233298,95.299316994777
"llama31_it","unanimous correct","present",7467,3409,4058,45.6542118655417,61.2829784384626,25.7260193605163,67.7180877279448,0.402035623409663,95.8617918842909
"llama31_it","unanimous wrong","absent",7467,3409,4058,45.6542118655417,76.6840766037231,79.6127896743913,10.2267126663381,0.00575867148788455,95.781438328646
"llama31_it","unanimous wrong","present",7467,3409,4058,45.6542118655417,80.0455336815321,85.1569375183338,10.0542138984722,0.314316325164061,96.0224989955805
