"scenario","n_authority","n_normal","authority_peer_ratio","log_authority_peer_ratio","N","Mean_delta_C","Delta_C_CI_low","Delta_C_CI_high","N_revision","Scenario_revision_rate_pct","Revision_CI_low_pct","Revision_CI_high_pct"
"S1 Authority Helps",1,5,0.2,-1.6094379124341,13643,-0.280436854064367,-0.323392360298277,-0.237481347830457,13643,20.7212489921572,20.0411259382978,21.4013720460165
"S1 Authority Helps",2,4,0.5,-0.693147180559945,13643,-0.418749541889616,-0.457464635652405,-0.380034448126828,13643,24.8625668841164,24.1372925797009,25.5878411885319
"S1 Authority Helps",3,3,1,0,13643,-0.418016565271568,-0.45532371544078,-0.380709415102357,13643,35.9305138166092,35.1253978002763,36.7356298329422
"S1 Authority Helps",4,2,2,0.693147180559945,13643,-0.253390016858451,-0.29408986889248,-0.212690164824421,13643,46.4780473502895,45.6411136733524,47.3149810272267
"S1 Authority Helps",5,1,5,1.6094379124341,13643,-0.252510444916789,-0.299739893987304,-0.205280995846275,13643,50.7073224364143,49.8683886679127,51.5462562049159
"S2 Authority Harms",1,5,0.2,-1.6094379124341,13170,-0.265375854214096,-0.306707260505844,-0.224044447922349,13170,27.4411541381929,26.6790583638477,28.203249912538
"S2 Authority Harms",2,4,0.5,-0.693147180559945,13170,-0.459301442672719,-0.496588516461258,-0.422014368884179,13170,30.3492786636295,29.5640427039322,31.1345146233267
"S2 Authority Harms",3,3,1,0,13170,-0.599468488990108,-0.634707348062777,-0.564229629917438,13170,37.3576309794989,36.5314276618435,38.1838342971542
"S2 Authority Harms",4,2,2,0.693147180559945,13170,-0.581928625664364,-0.619835306634666,-0.544021944694061,13170,46.1047835990888,45.2534274290087,46.956139769169
"S2 Authority Harms",5,1,5,1.6094379124341,13170,-0.53735763097955,-0.580901703577223,-0.493813558381877,13170,54.9886104783599,54.1389199705198,55.8383009862
"S3 Echo Chamber",1,5,0.2,-1.6094379124341,13643,-0.340687532067745,-0.384488455378303,-0.296886608757187,,,,
"S3 Echo Chamber",2,4,0.5,-0.693147180559945,13643,-0.403063842263432,-0.441763436599501,-0.364364247927364,,,,
"S3 Echo Chamber",3,3,1,0,13643,-0.387231547313638,-0.425386134552843,-0.349076960074433,,,,
"S3 Echo Chamber",4,2,2,0.693147180559945,13643,-0.243128344205808,-0.284932361977586,-0.20132432643403,,,,
"S3 Echo Chamber",5,1,5,1.6094379124341,13643,-0.258667448508396,-0.307917559574285,-0.209417337442506,,,,
"S4 Reinforcement",1,5,0.2,-1.6094379124341,13170,-0.591495823842098,-0.634208438006089,-0.548783209678107,,,,
"S4 Reinforcement",2,4,0.5,-0.693147180559945,13170,-0.576309794988599,-0.613775579953805,-0.538844010023393,,,,
"S4 Reinforcement",3,3,1,0,13170,-0.458390280941514,-0.496597749694326,-0.420182812188702,,,,
"S4 Reinforcement",4,2,2,0.693147180559945,13170,-0.280865603644692,-0.322152120823702,-0.239579086465683,,,,
"S4 Reinforcement",5,1,5,1.6094379124341,13170,-0.0422171602125789,-0.0870184474387964,0.00258412701363855,,,,
