"reflection","consensus","authority","N_total","N_initially_correct","N_initially_wrong","Base_accuracy_pct","Revision_rate_pct","Harmful_rate_pct","Beneficial_rate_pct","Mean_delta_C","Run_agreement_pct"
"none","mixed","absent",27394,13245,14149,48.3500036504344,33.8614295101117,15.5605889014723,32.6666195490847,-0.300467255603391,97.2308031774051
"none","mixed","present",27394,13245,14149,48.3500036504344,37.5848725998394,20.6040015100038,30.3908403420736,-0.337336643060511,97.2308031774051
"none","unanimous correct","absent",27394,13245,14149,48.3500036504344,50.3285390961524,27.5877689694224,51.4665347374373,-0.383989194714182,97.396293027361
"none","unanimous correct","present",27394,13245,14149,48.3500036504344,50.894356428415,26.6817667044168,53.9684783376917,-0.25268306928524,97.7824360105914
"none","unanimous wrong","absent",27394,13245,14149,48.3500036504344,63.0174490764401,62.8539071347678,7.20899003463142,-0.478316419653924,97.6169461606355
"none","unanimous wrong","present",27394,13245,14149,48.3500036504344,65.0653427757903,65.0283125707814,7.39274860414164,-0.413083156895735,97.716240070609
"self_reflection","mixed","absent",28940,14174,14766,48.977194194886,30.1762266758811,14.8440807111613,22.6940268183665,0.19644091223227,96.4934251721979
"self_reflection","mixed","present",28940,14174,14766,48.977194194886,31.109191430546,16.7913080287851,20.6284708113233,0.165791292328994,96.5560425798372
"self_reflection","unanimous correct","absent",28940,14174,14766,48.977194194886,35.4941257774706,15.1051220544659,33.5568197209806,0.164961990324799,96.5247338760175
"self_reflection","unanimous correct","present",28940,14174,14766,48.977194194886,35.062197650311,14.51248765345,33.2588378707842,0.171527297857624,96.6186599874765
"self_reflection","unanimous wrong","absent",28940,14174,14766,48.977194194886,44.8652384243262,41.3926908423875,7.57822023567655,0.0438493434692515,96.2429555416406
"self_reflection","unanimous wrong","present",28940,14174,14766,48.977194194886,44.7235659986178,40.9976012417102,7.65271569822565,0.00259156876298242,95.9403047380505
